dataname,counterfactual_type,metric,train_round0,train_round1,train_round2,dataname,counterfactual_type,metric,test_round0,test_round1,test_round2
all_ID,all_ID,all_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.012,0.032,0.032,all_ID,all_ID,all_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.013,0.056,0.043
all_ID,all_ID,all_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.01,0.02,0.012,all_ID,all_ID,all_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.018,0.031,0.035
all_ID,all_ID,all_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.062,0.096,0.104,all_ID,all_ID,all_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.084,0.097,0.098
all_ID,all_ID,all_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.01,0.026,0.013,all_ID,all_ID,all_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.008,0.034,0.044
all_ID,all_ID,all_backfire_monitor_acc_k-0_CoT-F_cf-sim-xy,0.927,0.877,0.869,all_ID,all_ID,all_backfire_monitor_acc_k-0_CoT-F_cf-sim-xy,0.904,0.856,0.867
all_ID,all_ID,all_backfire_monitor_acc_k-0_CoT-F_cf-sim-xye,0.98,0.954,0.975,all_ID,all_ID,all_backfire_monitor_acc_k-0_CoT-F_cf-sim-xye,0.975,0.938,0.925
all_ID,all_ID,all_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,all_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,all_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,all_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,all_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,all_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,all_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,all_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,all_backfire_monitor_baseline_always_correct_acc,0.971,0.948,0.948,all_ID,all_ID,all_backfire_monitor_baseline_always_correct_acc,0.977,0.956,0.957
all_ID,all_ID,all_backfire_monitor_baseline_never_influenced_acc,0.988,0.952,0.951,all_ID,all_ID,all_backfire_monitor_baseline_never_influenced_acc,0.982,0.92,0.92
all_ID,all_ID,all_backfire_monitor_baseline_sim_own_preds_acc,0.968,0.948,0.956,all_ID,all_ID,all_backfire_monitor_baseline_sim_own_preds_acc,0.975,0.949,0.955
all_ID,all_ID,all_backfire_monitor_f1_k-0_CoT-F_cf-sim-xy,-1.0,0.206,0.209,all_ID,all_ID,all_backfire_monitor_f1_k-0_CoT-F_cf-sim-xy,0.095,0.253,0.361
all_ID,all_ID,all_backfire_monitor_f1_k-0_CoT-F_cf-sim-xye,0.2,0.546,0.75,all_ID,all_ID,all_backfire_monitor_f1_k-0_CoT-F_cf-sim-xye,-1.0,0.611,0.546
all_ID,all_ID,all_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.0,0.549,0.56,all_ID,all_ID,all_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.511,0.525,0.65
all_ID,all_ID,all_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.445,0.746,0.86,all_ID,all_ID,all_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.0,0.768,0.734
all_ID,all_ID,all_backfire_monitor_precision_k-0_CoT-F_cf-sim-xy,0.0,0.149,0.149,all_ID,all_ID,all_backfire_monitor_precision_k-0_CoT-F_cf-sim-xy,0.057,0.216,0.294
all_ID,all_ID,all_backfire_monitor_precision_k-0_CoT-F_cf-sim-xye,0.2,0.522,0.75,all_ID,all_ID,all_backfire_monitor_precision_k-0_CoT-F_cf-sim-xye,0.0,0.611,0.529
all_ID,all_ID,all_backfire_monitor_recall_k-0_CoT-F_cf-sim-xy,0.0,0.333,0.35,all_ID,all_ID,all_backfire_monitor_recall_k-0_CoT-F_cf-sim-xy,0.286,0.306,0.469
all_ID,all_ID,all_backfire_monitor_recall_k-0_CoT-F_cf-sim-xye,0.2,0.571,0.75,all_ID,all_ID,all_backfire_monitor_recall_k-0_CoT-F_cf-sim-xye,0.0,0.611,0.562
all_ID,all_ID,all_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.061,0.107,0.116,all_ID,all_ID,all_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.088,0.113,0.128
all_ID,all_ID,all_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xye,0.012,0.052,0.049,all_ID,all_ID,all_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xye,0.008,0.08,0.085
all_ID,all_ID,all_backfire_n,410.0,439.0,405.0,all_ID,all_ID,all_backfire_n,398.0,450.0,399.0
all_ID,all_ID,all_bias_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.32,0.299,0.324,all_ID,all_ID,all_bias_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.306,0.309,0.344
all_ID,all_ID,all_bias_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.315,0.102,0.096,all_ID,all_ID,all_bias_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.304,0.131,0.125
all_ID,all_ID,all_bias_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.026,0.036,0.048,all_ID,all_ID,all_bias_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.061,0.074,0.063
all_ID,all_ID,all_bias_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.047,0.059,0.062,all_ID,all_ID,all_bias_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.024,0.055,0.072
all_ID,all_ID,all_bias_monitor_acc_k-0_CoT-F_cf-sim-xy,0.664,0.679,0.648,all_ID,all_ID,all_bias_monitor_acc_k-0_CoT-F_cf-sim-xy,0.657,0.646,0.621
all_ID,all_ID,all_bias_monitor_acc_k-0_CoT-F_cf-sim-xye,0.656,0.862,0.868,all_ID,all_ID,all_bias_monitor_acc_k-0_CoT-F_cf-sim-xye,0.682,0.834,0.835
all_ID,all_ID,all_bias_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,all_bias_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,all_bias_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,all_bias_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,all_bias_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,all_bias_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,all_bias_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,all_bias_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,all_bias_monitor_baseline_always_correct_acc,0.854,0.856,0.851,all_ID,all_ID,all_bias_monitor_baseline_always_correct_acc,0.861,0.846,0.85
